code,label,value
EDU,Career & Technical Education,EDU-CareerTechnicalEducation
EDU,English-as-a-Second-Language Education,EDU-EnglishasaSecondLanguageEducation
EDU,English/Language Arts Education,EDU-EnglishLanguageArtsEducation
EDU,Foreign Languages Education,EDU-ForeignLanguagesEducation
EDU,Health Education,EDU-HealthEducation
EDU,Mathematics Education,EDU-MathematicsEducation
EDU,Music Education,EDU-MusicEducation
EDU,Physical Education & Coaching,EDU-PhysicalEducationCoaching
EDU,Science Education,EDU-ScienceEducation
EDU,Social Studies/Sciences Education,EDU-SocialStudiesSciencesEducation
EDU,– not listed here –,EDU-notlistedhere
ENG,"Engineering (Pre-Engineering), General",ENG-EngineeringPreEngineeringGeneral
ENG,Aerospace/Aeronautical Engineering,ENG-AerospaceAeronauticalEngineering
ENG,Agricultural/Bioengineering,ENG-AgriculturalBioengineering
ENG,Architectural Engineering,ENG-ArchitecturalEngineering
ENG,Biomedical Engineering,ENG-BiomedicalEngineering
ENG,Chemical Engineering,ENG-ChemicalEngineering
ENG,Civil Engineering,ENG-CivilEngineering
ENG,Computer Engineering,ENG-ComputerEngineering
ENG,Construction Engineering/Management,ENG-ConstructionEngineeringManagement
ENG,"Electrical, Electronics & Communications Engineering",ENG-ElectricalElectronicsCommunicationsEngineering
ENG,Environmental Health Engineering,ENG-EnvironmentalHealthEngineering
ENG,Industrial Engineering,ENG-IndustrialEngineering
ENG,Mechanical Engineering,ENG-MechanicalEngineering
ENG,Nuclear Engineering,ENG-NuclearEngineering
ENG,– not listed here –,ENG-notlistedhere
END,"Drafting/CAD Technology, General",END-DraftingCADTechnologyGeneral
END,Architectural Drafting/CAD Technology,END-ArchitecturalDraftingCADTechnology
END,Mechanical Drafting/CAD Technology,END-MechanicalDraftingCADTechnology
END,"Engineering Technology, General",END-EngineeringTechnologyGeneral
END,Aeronautical/Aerospace Engineering Technologies,END-AeronauticalAerospaceEngineeringTechnologies
END,Architectural Engineering Technology,END-ArchitecturalEngineeringTechnology
END,Automotive Engineering Technology,END-AutomotiveEngineeringTechnology
END,Civil Engineering Technology,END-CivilEngineeringTechnology
END,Computer Engineering Technology,END-ComputerEngineeringTechnology
END,Construction/Building Technology,END-ConstructionBuildingTechnology
END,"Electrical, Electronics Engineering Technologies",END-ElectricalElectronicsEngineeringTechnologies
END,Electromechanical/Biomedical Engineering Technologies,END-ElectromechanicalBiomedicalEngineeringTechnologies
END,Environmental Control Technologies,END-EnvironmentalControlTechnologies
END,Industrial Production Technologies,END-IndustrialProductionTechnologies
END,Mechanical Engineering Technology,END-MechanicalEngineeringTechnology
END,Quality Control & Safety Technologies,END-QualityControlSafetyTechnologies
END,Surveying Technology,END-SurveyingTechnology
END,– not listed here –,END-notlistedhere
LAN,"English Language & Literature, General",LAN-EnglishLanguageLiteratureGeneral
LAN,American/English Literature,LAN-AmericanEnglishLiterature
LAN,Creative Writing,LAN-CreativeWriting
LAN,Public Speaking,LAN-PublicSpeaking
LAN,"Foreign Languages/Literatures, General",LAN-ForeignLanguagesLiteraturesGeneral
LAN,Asian Languages & Literatures,LAN-AsianLanguagesLiteratures
LAN,Classical/Ancient Languages & Literatures,LAN-ClassicalAncientLanguagesLiteratures
LAN,Comparative Literature,LAN-ComparativeLiterature
LAN,French Language & Literature,LAN-FrenchLanguageLiterature
LAN,German Language & Literature,LAN-GermanLanguageLiterature
LAN,Linguistics,LAN-Linguistics
LAN,Middle Eastern Languages & Literatures,LAN-MiddleEasternLanguagesLiteratures
LAN,Spanish Language & Literature,LAN-SpanishLanguageLiterature
LAN,– not listed here –,LAN-notlistedhere
HEA,"Health Services Administration,General",HEA-HealthServicesAdministrationGeneral
HEA,Hospital/Facilities Administration,HEA-HospitalFacilitiesAdministration
HEA,Medical Office/Secretarial,HEA-MedicalOfficeSecretarial
HEA,Medical Records,HEA-MedicalRecords
HEA,"Medical/Clinical Assisting, General",HEA-MedicalClinicalAssistingGeneral
HEA,Dental Assisting,HEA-DentalAssisting
HEA,Medical Assisting,HEA-MedicalAssisting
HEA,Occupational Therapy Assisting,HEA-OccupationalTherapyAssisting
